match_id,blue_Win,blue_Wards,blue_Yellow_Wards,blue_Sight_Wards,blue_Blue_Wards,blue_Control_Wards,blue_Wards_Destroyed,blue_First_Blood,blue_Kills,blue_Aces,blue_Assists,blue_Void_Grubs,blue_Dragons,blue_Cloud_Drake,blue_Infernal_Drake,blue_Mountain_Drake,blue_Ocean_Drake,blue_Chemtech_Drake,blue_Hextech_Drake,blue_Heralds,blue_Towers_Destroyed,blue_Top_Towers_Destroyed,blue_Mid_Towers_Destroyed,blue_Bot_Towers_Destroyed,blue_Turret_Plates,blue_Inhibitors,blue_Top_Inhibitor,blue_Mid_Inhibitor,blue_Bot_Inhibitor,blue_Top_Plates,blue_Mid_Plates,blue_Bot_Plates,blue_Total_Gold,blue_Total_Level,blue_Avg_Level,blue_Total_XP,blue_Total_CS,blue_Total_Jungle_Monsters,blue_Gold_Diff,blue_XP_Diff,blue_Magic_Dmg,blue_Physical_Dmg,blue_True_Dmg,blue_Total_Dmg,red_Win,red_Wards,red_Yellow_Wards,red_Sight_Wards,red_Blue_Wards,red_Control_Wards,red_Wards_Destroyed,red_First_Blood,red_Kills,red_Aces,red_Assists,red_Void_Grubs,red_Dragons,red_Cloud_Drake,red_Infernal_Drake,red_Mountain_Drake,red_Ocean_Drake,red_Chemtech_Drake,red_Hextech_Drake,red_Heralds,red_Towers_Destroyed,red_Top_Towers_Destroyed,red_Mid_Towers_Destroyed,red_Bot_Towers_Destroyed,red_Turret_Plates,red_Inhibitors,red_Top_Inhibitor,red_Mid_Inhibitor,red_Bot_Inhibitor,red_Top_Plates,red_Mid_Plates,red_Bot_Plates,red_Total_Gold,red_Total_Level,red_Avg_Level,red_Total_XP,red_Total_CS,red_Total_Jungle_Monsters,red_Gold_Diff,red_XP_Diff,red_Magic_Dmg,red_Physical_Dmg,red_True_Dmg,red_Total_Dmg
NA1_4959489871,1.0,22.0,10.0,9.0,0.0,2.0,8.0,1.0,14.0,0.0,19.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,27558.0,47.0,9.4,28955.0,346.0,63.0,2925.0,620.0,12663.0,18689.0,951.0,32304.0,0.0,86.0,22.0,7.0,0.0,2.0,1.0,0.0,8.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,24633.0,46.0,9.2,28335.0,300.0,76.0,-2925.0,-620.0,10969.0,16477.0,678.0,28127.0
NA1_4959433709,0.0,63.0,16.0,3.0,0.0,2.0,3.0,0.0,15.0,0.0,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27495.0,47.0,9.4,28588.0,315.0,95.0,-1397.0,244.0,9754.0,21732.0,1298.0,32788.0,1.0,67.0,21.0,8.0,0.0,2.0,1.0,1.0,14.0,0.0,16.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,28892.0,46.0,9.2,28344.0,317.0,80.0,1397.0,-244.0,8733.0,23898.0,1292.0,33926.0
NA1_4959406776,1.0,26.0,19.0,2.0,2.0,3.0,0.0,1.0,14.0,0.0,14.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,27123.0,47.0,9.4,29922.0,315.0,99.0,58.0,2804.0,15842.0,16865.0,507.0,33215.0,0.0,26.0,18.0,6.0,1.0,1.0,2.0,0.0,10.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27065.0,45.0,9.0,27118.0,337.0,84.0,-58.0,-2804.0,16146.0,11446.0,1893.0,29490.0
NA1_4959124290,1.0,140.0,18.0,5.0,0.0,3.0,6.0,0.0,17.0,0.0,17.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,30580.0,49.0,9.8,32421.0,337.0,117.0,3082.0,3642.0,19406.0,12851.0,1731.0,33992.0,0.0,22.0,12.0,4.0,0.0,6.0,6.0,1.0,13.0,0.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,27498.0,45.0,9.0,28779.0,357.0,70.0,-3082.0,-3642.0,12668.0,19022.0,3303.0,34994.0
NA1_4959103781,1.0,144.0,20.0,7.0,0.0,2.0,3.0,0.0,18.0,0.0,19.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,29452.0,47.0,9.4,30601.0,366.0,78.0,5003.0,2592.0,15706.0,18278.0,1765.0,35750.0,0.0,16.0,9.0,7.0,0.0,0.0,4.0,1.0,7.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24449.0,45.0,9.0,28009.0,339.0,86.0,-5003.0,-2592.0,8574.0,20283.0,296.0,29155.0
NA1_4958999368,0.0,30.0,21.0,5.0,0.0,4.0,6.0,1.0,7.0,0.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23683.0,47.0,9.4,30363.0,332.0,90.0,-1788.0,-1568.0,10439.0,10191.0,712.0,21344.0,1.0,23.0,10.0,5.0,0.0,4.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,25471.0,48.0,9.6,31931.0,403.0,96.0,1788.0,1568.0,16874.0,7824.0,1280.0,25981.0
NA1_4958962704,0.0,23.0,14.0,8.0,0.0,1.0,5.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23316.0,45.0,9.0,27721.0,349.0,82.0,-2443.0,-3055.0,5394.0,13377.0,833.0,19606.0,1.0,48.0,20.0,8.0,0.0,5.0,10.0,1.0,6.0,0.0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,25759.0,47.0,9.4,30776.0,410.0,92.0,2443.0,3055.0,15813.0,8437.0,616.0,24870.0
NA1_4958745094,0.0,21.0,14.0,4.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20072.0,42.0,8.4,25240.0,301.0,66.0,-10659.0,-8257.0,8121.0,11664.0,35.0,19824.0,1.0,29.0,17.0,8.0,0.0,4.0,5.0,0.0,17.0,0.0,16.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,30731.0,49.0,9.8,33497.0,377.0,116.0,10659.0,8257.0,17850.0,16766.0,1525.0,36143.0
NA1_4958701781,0.0,25.0,18.0,6.0,0.0,1.0,8.0,1.0,10.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,26205.0,45.0,9.0,28297.0,367.0,74.0,-2252.0,-4637.0,7031.0,21865.0,2207.0,31108.0,1.0,32.0,20.0,7.0,0.0,5.0,2.0,0.0,13.0,0.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,28457.0,49.0,9.8,32934.0,386.0,102.0,2252.0,4637.0,15038.0,14523.0,871.0,30434.0
NA1_4958581230,1.0,24.0,17.0,4.0,0.0,3.0,7.0,1.0,9.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,27184.0,49.0,9.8,31245.0,369.0,99.0,2726.0,1444.0,11701.0,14678.0,1039.0,27420.0,0.0,33.0,21.0,9.0,0.0,3.0,5.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,24458.0,46.0,9.2,29801.0,349.0,103.0,-2726.0,-1444.0,10823.0,13562.0,842.0,25229.0
NA1_4958513291,0.0,121.0,18.0,4.0,0.0,2.0,6.0,0.0,7.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24066.0,46.0,9.2,28711.0,350.0,78.0,-1319.0,-1320.0,6784.0,13972.0,580.0,21337.0,1.0,38.0,13.0,5.0,0.0,2.0,2.0,1.0,6.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,25385.0,46.0,9.2,30031.0,365.0,101.0,1319.0,1320.0,10503.0,16434.0,922.0,27862.0
